<<<<<<< HEAD
558,315
506,279
644,313
579,287
720,315
656,288
768,274
715,258
490,272
449,254
413,266
384,237
331,309
394,281
256,305
314,281
176,305
244,280
108,301
168,276
38,296
103,269
67,458
156,416
178,460
293,426
306,480
429,399
441,477
536,408
581,482
674,404
574,508
698,535
429,505
548,534
260,500
144,535
474,206
505,215
524,221
562,206
576,223
613,208
729,220
675,202
833,218
784,204
756,197
714,182
918,275
847,250
874,287
955,311
954,489
810,408
315,204
262,219
216,205
164,214
246,197
229,180
395,195
430,186
362,218
407,206
930,268
940,244
=======
558,315
506,279
644,313
579,287
720,315
656,288
768,274
715,258
490,272
449,254
413,266
384,237
331,309
394,281
256,305
314,281
176,305
244,280
108,301
168,276
38,296
103,269
67,458
156,416
178,460
293,426
306,480
429,399
441,477
536,408
581,482
674,404
574,508
698,535
429,505
548,534
260,500
144,535
474,206
505,215
524,221
562,206
576,223
613,208
729,220
675,202
833,218
784,204
756,197
714,182
918,275
847,250
874,287
955,311
954,489
810,408
315,204
262,219
216,205
164,214
246,197
229,180
395,195
430,186
362,218
407,206
930,268
940,244
>>>>>>> ba34fcc6b10f808adbb79bbf31433af76b00ad4c
